"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4330","Create Case Test","","Wed Jun 25 15:14:40 IST 2025","passed","Wed Jun 25 15:14:45 IST 2025","User 2","SerialTest.spec.ts","",""
"","9837","Create Contact and Open","","Wed Jun 25 15:14:17 IST 2025","passed","Wed Jun 25 15:14:27 IST 2025","User 2","SerialTest.spec.ts","",""
"","5860","Delete Contact","","Wed Jun 25 18:53:26 IST 2025","passed","Wed Jun 25 18:53:32 IST 2025","CEO","SerialTest.spec.ts","",""
"","1864","Create Case Test","","Wed Jun 25 18:53:00 IST 2025","passed","Wed Jun 25 18:53:02 IST 2025","Admin","SerialTest.spec.ts","",""
"","10324","Create Contact and Open","","Wed Jun 25 18:52:44 IST 2025","passed","Wed Jun 25 18:52:54 IST 2025","Admin","SerialTest.spec.ts","",""
"","4586","Create Case Test","","Wed Jun 25 15:14:12 IST 2025","passed","Wed Jun 25 15:14:16 IST 2025","User 1","SerialTest.spec.ts","",""
"","14197","Create Contact and Open","","Wed Jun 25 15:13:49 IST 2025","passed","Wed Jun 25 15:14:03 IST 2025","User 1","SerialTest.spec.ts","",""
"","4801","Delete Contact","","Wed Jun 25 18:53:02 IST 2025","passed","Wed Jun 25 18:53:07 IST 2025","Admin","SerialTest.spec.ts","",""
"","7","Salesforce Login Test","","Wed Jun 25 17:18:22 IST 2025","skipped","Wed Jun 25 17:18:22 IST 2025","","login.spec.ts","",""
"","8471","Create Contact and Open","","Wed Jun 25 18:53:07 IST 2025","passed","Wed Jun 25 18:53:16 IST 2025","CEO","SerialTest.spec.ts","",""
"","2085","Create Case Test","","Wed Jun 25 18:53:24 IST 2025","passed","Wed Jun 25 18:53:26 IST 2025","CEO","SerialTest.spec.ts","",""
