"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6049","Delete Contact","","Wed Jun 25 19:10:52 IST 2025","passed","Wed Jun 25 19:10:58 IST 2025","CEO","SerialTest.spec.ts","",""
"","4586","Create Case Test","","Wed Jun 25 15:14:12 IST 2025","passed","Wed Jun 25 15:14:16 IST 2025","User 1","SerialTest.spec.ts","",""
"","7275","Create Contact and Open","","Wed Jun 25 19:10:34 IST 2025","passed","Wed Jun 25 19:10:41 IST 2025","CEO","SerialTest.spec.ts","",""
"","5637","Delete Contact","","Wed Jun 25 19:10:28 IST 2025","passed","Wed Jun 25 19:10:34 IST 2025","Admin","SerialTest.spec.ts","",""
"","1598","Create Case Test","","Wed Jun 25 19:10:50 IST 2025","passed","Wed Jun 25 19:10:52 IST 2025","CEO","SerialTest.spec.ts","",""
"","6779","Create Contact and Open","","Wed Jun 25 19:10:11 IST 2025","passed","Wed Jun 25 19:10:18 IST 2025","Admin","SerialTest.spec.ts","",""
"","14197","Create Contact and Open","","Wed Jun 25 15:13:49 IST 2025","passed","Wed Jun 25 15:14:03 IST 2025","User 1","SerialTest.spec.ts","",""
"","9837","Create Contact and Open","","Wed Jun 25 15:14:17 IST 2025","passed","Wed Jun 25 15:14:27 IST 2025","User 2","SerialTest.spec.ts","",""
"","4330","Create Case Test","","Wed Jun 25 15:14:40 IST 2025","passed","Wed Jun 25 15:14:45 IST 2025","User 2","SerialTest.spec.ts","",""
"","2056","Create Case Test","","Wed Jun 25 19:10:26 IST 2025","passed","Wed Jun 25 19:10:28 IST 2025","Admin","SerialTest.spec.ts","",""
"","6","Salesforce Login Test","","Wed Jun 25 19:10:10 IST 2025","skipped","Wed Jun 25 19:10:10 IST 2025","","login.spec.ts","",""
